File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,W,W Err,Au,Au Err,Cal Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,10/04/2019 10:56,Supervisor,LST12,Q,Q,Q,GeoExploration,Oxide3phase,5,,0,,0,,0,< LOD,0.0151,< LOD,0.0067,0.014,0.0083,1.2837,0.0442,< LOD,0.007,< LOD,0.0015,0.0011,0.0008,< LOD,0.0006,< LOD,0.001,< LOD,0.0086,< LOD,0.0061,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check,,
1371,10/04/2019 10:57,Supervisor,LST12,Q,Q,Q,GeoExploration,Oxide3phase,60,,0,,0,,0,2.198,1.136,2.6504,0.3586,15.8166,0.3602,0.0272,0.0164,1.7275,0.0386,0.2579,0.0248,1.8843,0.0258,4.3762,0.034,0.2049,0.0084,< LOD,0.0101,< LOD,0.004,0.0195,0.0049,1.8469,0.0273,< LOD,0.0041,< LOD,0.0007,< LOD,0.0005,0.0009,0.0004,< LOD,0.0005,< LOD,0.0005,< LOD,0.0003,0.006,0.0006,0.0175,0.0018,< LOD,0.0012,0.0111,0.0023,< LOD,0.0031,< LOD,0.0023,< LOD,0.0022,< LOD,0.0012,< LOD,0.001,< LOD,0.0023,< LOD,0.0079,< LOD,0.0014,< LOD,0.0081,< LOD,0.0133,< LOD,0.0165,< LOD,0.0343,< LOD,0.0038,< LOD,0.0038,< LOD,0.0021,< LOD,0.0029,< LOD,0.0013,< LOD,0.0007,0.0014,0.0009,< LOD,0.0015,< LOD,0.0017,< LOD,0.0038,Passed,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check,,
1372,10/04/2019 11:00,Supervisor,LST12,Q,Q,Q,GeoExploration,Oxide3phase,50,,0,,0,,0,1.769,1.377,3.5984,0.4409,20.2545,0.4505,0.0326,0.0222,2.4991,0.0512,0.9067,0.0355,2.0991,0.0302,6.8646,0.0467,0.2078,0.0093,< LOD,0.0113,< LOD,0.0049,0.0073,0.0049,1.9301,0.0331,< LOD,0.0048,< LOD,0.0009,< LOD,0.0006,0.0007,0.0005,< LOD,0.0006,< LOD,0.0006,< LOD,0.0003,0.0048,0.0006,0.027,0.002,< LOD,0.001,0.0062,0.002,< LOD,0.0029,< LOD,0.0021,< LOD,0.002,< LOD,0.0027,< LOD,0.0011,< LOD,0.0024,< LOD,0.0073,< LOD,0.0015,< LOD,0.0082,< LOD,0.0148,< LOD,0.0169,< LOD,0.0314,< LOD,0.0031,< LOD,0.0046,< LOD,0.0018,< LOD,0.003,< LOD,0.0014,< LOD,0.0007,0.0018,0.001,< LOD,0.0015,< LOD,0.0016,< LOD,0.003,Passed,,
